Fecha	Territorio	Confirmados PDIA	Confirmados PDIA 14 días	Confirmados PDIA 7 días	Total confirmados	Hospitalizados	Total UCI	Fallecidos	Curados
27/10/2020	Andalucía	119691	33723	16273	124994	12706	1241	2402	48572
	Almería	10694	1790	1072	11008	849	110	149	7870
	Cádiz	11273	2466	1200	11634	1181	131	274	5036
	Córdoba	12811	3515	1722	13252	1321	154	239	4869
	Granada	20785	8267	3725	21609	2037	173	416	5311
	Huelva	3529	1476	897	3688	351	36	67	992
	Jaén	11252	3952	1958	11821	1358	134	276	4043
	Málaga	21642	3292	1701	23493	2722	255	477	12990
	Sevilla	27705	8965	3998	28489	2887	248	504	7461
26/10/2020	Andalucía	116868	31903	16068	122146	12535	1228	2348	47139
	Almería	10607	1734	1071	10919	836	109	139	7756
	Cádiz	10898	2148	986	11263	1163	130	263	4949
	Córdoba	12602	3437	1807	13041	1296	148	232	4585
	Granada	20461	8142	4213	21281	2015	173	409	5234
	Huelva	3423	1402	876	3580	351	36	66	961
	Jaén	10912	3771	1850	11481	1348	134	273	3915
	Málaga	21265	3005	1531	23102	2699	254	471	12654
	Sevilla	26700	8264	3734	27479	2827	244	495	7085
25/10/2020	Andalucía	114219	30340	14674	119471	12407	1222	2335	46507
	Almería	10446	1619	997	10757	835	109	138	7722
	Cádiz	10781	2099	981	11131	1159	130	262	4814
	Córdoba	12204	3185	1524	12643	1280	148	228	4493
	Granada	20001	7843	3947	20821	1969	171	409	5149
	Huelva	3233	1231	764	3390	349	36	66	922
	Jaén	10505	3487	1602	11069	1338	132	271	3882
	Málaga	21028	2896	1417	22864	2686	254	470	12468
	Sevilla	26021	7980	3442	26796	2791	242	491	7057
24/10/2020	Andalucía	111070	29059	14016	116304	12335	1221	2331	46051
	Almería	10266	1522	1008	10569	831	109	138	7695
	Cádiz	10643	2096	1088	10993	1153	130	262	4751
	Córdoba	11902	3140	1489	12338	1265	147	228	4430
	Granada	18640	6924	3203	19460	1953	171	407	5054
	Huelva	3089	1165	690	3246	348	36	66	916
	Jaén	10230	3414	1614	10791	1331	132	271	3869
	Málaga	20873	2926	1436	22708	2669	254	469	12289
	Sevilla	25427	7872	3488	26199	2785	242	490	7047
23/10/2020	Andalucía	107692	28268	13857	112901	12173	1211	2301	45445
	Almería	10024	1346	863	10326	819	108	138	7654
	Cádiz	10413	2053	1068	10763	1146	130	262	4642
	Córdoba	11540	3078	1442	11973	1241	147	227	4335
	Granada	17748	6622	3184	18567	1919	169	401	4947
	Huelva	2955	1067	674	3109	344	36	66	902
	Jaén	9906	3370	1686	10457	1305	130	265	3866
	Málaga	20570	2925	1462	22403	2653	253	463	12086
	Sevilla	24536	7807	3478	25303	2746	238	479	7013
22/10/2020	Andalucía	104017	27000	13558	109195	12029	1198	2271	44643
	Almería	9820	1260	775	10117	812	107	135	7548
	Cádiz	10159	1944	1065	10509	1136	126	259	4556
	Córdoba	11143	2931	1295	11574	1220	146	223	4230
	Granada	16945	6332	3311	17764	1906	168	401	4823
	Huelva	2759	950	591	2908	342	36	66	877
	Jaén	9380	3103	1551	9925	1280	130	259	3752
	Málaga	20207	2839	1390	22035	2628	247	458	11861
	Sevilla	23604	7641	3580	24363	2705	238	470	6996
20/10/2020	Andalucía	97793	24757	12061	102935	11675	1174	2211	42696
	Almería	9543	1153	642	9840	805	107	130	7205
	Cádiz	9654	1757	859	10001	1103	124	255	4406
	Córdoba	10481	2670	1201	10907	1174	141	219	3922
	Granada	15412	5858	2924	16231	1853	166	386	4693
	Huelva	2451	753	401	2593	327	36	66	853
	Jaén	8777	3003	1506	9319	1237	125	251	3642
	Málaga	19691	2715	1358	21511	2577	246	450	11069
	Sevilla	21784	6848	3170	22533	2599	229	454	6906
19/10/2020	Andalucía	95381	23598	10664	100508	11513	1168	2169	41895
	Almería	9472	1128	600	9769	798	107	129	7012
	Cádiz	9431	1613	702	9778	1089	124	250	4303
	Córdoba	10233	2556	1091	10656	1158	139	215	3896
	Granada	14727	5423	2435	15546	1819	165	380	4628
	Huelva	2400	735	383	2540	320	36	66	846
	Jaén	8607	2979	1497	9144	1202	124	236	3578
	Málaga	19380	2511	1148	21199	2555	245	446	10772
	Sevilla	21131	6653	2808	21876	2572	228	447	6860
18/10/2020	Andalucía	93686	22872	10065	98800	11438	1165	2160	41794
	Almería	9345	1085	519	9642	796	107	128	7011
	Cádiz	9339	1573	680	9686	1077	124	249	4297
	Córdoba	10069	2493	1072	10487	1153	139	215	3893
	Granada	14350	5176	2219	15167	1803	165	377	4618
	Huelva	2326	680	328	2465	309	36	65	838
	Jaén	8395	2873	1406	8929	1195	124	234	3563
	Málaga	19174	2432	1069	20992	2545	244	446	10729
	Sevilla	20688	6560	2772	21432	2560	226	446	6845
17/10/2020	Andalucía	91109	21533	9322	96214	11380	1161	2151	41285
	Almería	9193	984	449	9490	796	107	128	7004
	Cádiz	9155	1516	625	9502	1069	124	248	4240
	Córdoba	9825	2360	1083	10242	1141	137	213	3872
	Granada	13610	4736	1919	14427	1787	165	373	4574
	Huelva	2259	622	338	2398	307	36	65	836
	Jaén	8105	2771	1316	8637	1188	122	233	3560
	Málaga	18960	2383	1041	20776	2537	244	445	10361
	Sevilla	20002	6161	2551	20742	2555	226	446	6838
16/10/2020	Andalucía	88384	20563	9132	93480	11203	1153	2126	40524
	Almería	9103	992	423	9400	794	107	126	6946
	Cádiz	9005	1531	668	9352	1055	123	247	4200
	Córdoba	9543	2267	1093	9959	1130	135	208	3843
	Granada	13004	4443	1894	13821	1757	165	372	4521
	Huelva	2186	616	302	2325	305	36	65	813
	Jaén	7719	2547	1203	8251	1166	122	232	3500
	Málaga	18639	2237	1016	20454	2518	244	438	10216
	Sevilla	19185	5930	2533	19918	2478	221	438	6485
15/10/2020	Andalucía	85456	19303	8603	90509	11043	1139	2097	39760
	Almería	8991	976	426	9281	787	107	126	6866
	Cádiz	8835	1495	644	9173	1044	120	243	4116
	Córdoba	9231	2123	1025	9646	1110	133	203	3739
	Granada	12269	4074	1666	13083	1722	164	367	4488
	Huelva	2096	579	292	2232	301	36	62	792
	Jaén	7261	2294	999	7790	1148	121	231	3380
	Málaga	18376	2176	1046	20187	2505	241	436	10073
	Sevilla	18397	5586	2505	19117	2426	217	429	6306
14/10/2020	Andalucía	83485	18772	8825	88527	10941	1135	2086	38961
	Almería	8907	998	462	9194	781	107	126	6719
	Cádiz	8677	1452	676	9014	1031	120	242	4043
	Córdoba	9075	2059	1085	9489	1096	133	203	3621
	Granada	11909	4043	1846	12723	1714	163	367	4367
	Huelva	2050	576	289	2185	300	36	62	780
	Jaén	6940	2079	1015	7466	1139	121	230	3374
	Málaga	18183	2193	1063	19995	2488	238	434	9837
	Sevilla	17744	5372	2389	18461	2392	217	422	6220
13/10/2020	Andalucía	81552	18119	8821	86579	10842	1133	2083	38921
	Almería	8876	1044	489	9162	777	107	126	6716
	Cádiz	8546	1454	669	8883	1028	120	242	4042
	Córdoba	8828	1924	1035	9240	1094	132	203	3620
	Granada	11349	3750	1850	12162	1683	163	367	4346
	Huelva	2028	590	333	2161	299	36	62	778
	Jaén	6759	2042	1049	7282	1115	121	229	3372
	Málaga	18023	2157	1082	19832	2484	238	434	9833
	Sevilla	17143	5158	2314	17857	2362	216	420	6214
12/10/2020	Andalucía	80304	17630	8728	85321	10720	1122	2039	38383
	Almería	8805	1022	478	9091	767	107	123	6605
	Cádiz	8475	1443	674	8812	1024	117	239	3975
	Córdoba	8576	1768	906	8988	1084	130	196	3540
	Granada	11325	3844	2037	12137	1678	161	358	4304
	Huelva	1967	568	304	2101	294	36	62	779
	Jaén	6591	1959	999	7115	1102	120	224	3328
	Málaga	17803	2037	966	19608	2456	237	424	9688
	Sevilla	16762	4989	2364	17469	2315	214	413	6164
11/10/2020	Andalucía	78985	17048	8403	84000	10627	1115	2025	37952
	Almería	8747	1034	502	9033	762	107	122	6591
	Cádiz	8377	1402	630	8714	1018	116	238	3835
	Córdoba	8338	1682	772	8750	1067	129	194	3495
	Granada	10998	3596	1858	11810	1649	160	355	4259
	Huelva	1948	572	303	2082	291	36	62	776
	Jaén	6513	1973	1023	7037	1097	118	223	3328
	Málaga	17690	2034	981	19494	2436	235	418	9550
	Sevilla	16374	4755	2334	17080	2307	214	413	6118
10/10/2020	Andalucía	77658	17047	8307	82654	10577	1114	2019	37517
	Almería	8678	1078	484	8963	757	107	121	6558
	Cádiz	8273	1452	655	8609	1006	116	238	3728
	Córdoba	8246	1748	792	8657	1061	129	194	3413
	Granada	10730	3536	1897	11542	1648	160	355	4225
	Huelva	1885	565	249	2015	290	36	61	761
	Jaén	6385	1979	1075	6905	1096	118	222	3321
	Málaga	17527	2098	982	19330	2427	234	415	9425
	Sevilla	15934	4591	2173	16633	2292	214	413	6086
09/10/2020	Andalucía	75614	16438	8015	80605	10459	1106	1996	36932
	Almería	8584	1054	490	8869	751	106	121	6453
	Cádiz	8097	1412	640	8433	995	115	237	3680
	Córdoba	8034	1764	768	8443	1047	127	193	3350
	Granada	10227	3224	1709	11039	1639	160	352	4185
	Huelva	1821	540	251	1950	287	36	61	753
	Jaén	6131	1908	985	6650	1085	117	221	3219
	Málaga	17333	2107	963	19136	2398	231	404	9253
	Sevilla	15387	4429	2209	16085	2257	214	407	6039
08/10/2020	Andalucía	73617	16006	7730	78601	10367	1098	1982	36249
	Almería	8483	1051	489	8768	749	106	121	6277
	Cádiz	7939	1424	622	8275	985	113	237	3621
	Córdoba	7853	1834	766	8259	1031	125	189	3274
	Granada	9691	2891	1533	10503	1624	159	351	4105
	Huelva	1769	524	251	1898	282	36	61	742
	Jaén	5960	1837	1012	6478	1080	116	221	3155
	Málaga	17092	2069	927	18893	2381	230	400	9096
	Sevilla	14830	4376	2130	15527	2235	213	402	5979
07/10/2020	Andalucía	71707	15473	7322	76684	10247	1091	1962	35448
	Almería	8378	1037	489	8661	745	105	121	6098
	Cádiz	7821	1445	620	8157	980	113	236	3592
	Córdoba	7655	1773	679	8060	1012	125	184	3226
	Granada	9370	2769	1538	10182	1613	158	344	4042
	Huelva	1714	507	241	1843	279	36	58	734
	Jaén	5734	1707	893	6250	1059	114	219	3111
	Málaga	16913	2159	956	18715	2371	230	399	8715
	Sevilla	14122	4076	1906	14816	2188	210	401	5930
06/10/2020	Andalucía	69800	14924	6681	74766	10164	1086	1956	34686
	Almería	8332	1075	513	8615	739	104	121	5864
	Cádiz	7660	1413	601	7994	972	113	236	3561
	Córdoba	7417	1724	554	7822	1003	124	181	3121
	Granada	8905	2497	1308	9716	1598	158	342	3992
	Huelva	1670	505	233	1799	277	36	57	704
	Jaén	5546	1626	842	6058	1051	114	219	3104
	Málaga	16699	2178	858	18501	2359	229	398	8451
	Sevilla	13571	3906	1772	14261	2165	208	402	5889
05/10/2020	Andalucía	68345	14447	6086	73304	10067	1072	1926	33565
	Almería	8268	1045	494	8551	735	103	121	5680
	Cádiz	7486	1335	509	7820	966	113	236	3421
	Córdoba	7275	1623	507	7680	996	118	177	3062
	Granada	8670	2368	1220	9482	1586	158	340	3930
	Huelva	1641	486	243	1769	273	36	57	688
	Jaén	5408	1595	788	5917	1038	112	212	2987
	Málaga	16520	2261	782	18323	2337	228	392	8150
	Sevilla	13077	3734	1543	13762	2136	204	391	5647
04/10/2020	Andalucía	67441	14289	5953	72682	10014	1072	1910	33414
	Almería	8183	1033	477	8466	732	103	119	5653
	Cádiz	7426	1369	502	7766	959	113	235	3387
	Córdoba	7201	1621	611	7651	986	118	176	3062
	Granada	8555	2294	1175	9374	1576	158	340	3927
	Huelva	1601	451	228	1759	272	36	57	689
	Jaén	5232	1481	697	5794	1039	112	212	2990
	Málaga	16363	2296	735	18224	2327	228	389	8058
	Sevilla	12880	3744	1528	13648	2123	204	382	5648
03/10/2020	Andalucía	66303	14212	6117	71510	9961	1069	1906	33056
	Almería	8092	1021	502	8373	726	103	117	5363
	Cádiz	7339	1417	570	7679	957	113	235	3386
	Córdoba	7083	1602	644	7532	977	117	174	3035
	Granada	8278	2130	1091	9097	1563	156	340	3926
	Huelva	1566	452	249	1724	272	36	57	689
	Jaén	5130	1495	727	5672	1035	112	212	2990
	Málaga	16244	2387	851	18105	2323	228	389	8019
	Sevilla	12571	3708	1483	13328	2108	204	382	5648
02/10/2020	Andalucía	64774	14263	6097	69914	9883	1056	1883	32016
	Almería	7998	1027	474	8278	725	103	117	5116
	Cádiz	7212	1530	604	7552	952	111	233	3351
	Córdoba	6941	1717	743	7388	954	114	164	2984
	Granada	7980	1966	989	8795	1555	156	340	3879
	Huelva	1520	440	242	1666	271	36	57	635
	Jaén	4965	1469	740	5476	1020	108	210	2933
	Málaga	16107	2449	906	17964	2316	225	384	7716
	Sevilla	12051	3665	1399	12795	2090	203	378	5402
01/10/2020	Andalucía	63378	14123	6184	68445	9793	1045	1861	31118
	Almería	7931	1081	499	8210	723	103	115	4943
	Cádiz	7090	1563	653	7426	944	111	229	3319
	Córdoba	6792	1716	822	7236	939	112	157	2809
	Granada	7688	1771	891	8502	1549	155	340	3848
	Huelva	1480	422	235	1625	268	35	57	625
	Jaén	4859	1462	728	5364	1008	108	209	2888
	Málaga	15950	2613	937	17762	2309	223	380	7453
	Sevilla	11588	3495	1419	12320	2053	198	374	5233
30/09/2020	Andalucía	62075	14203	6315	67113	9710	1033	1842	30363
	Almería	7835	1114	495	8114	722	102	115	4883
	Cádiz	6880	1550	606	7216	933	109	226	3204
	Córdoba	6602	1673	764	7046	928	111	156	2681
	Granada	7480	1654	883	8294	1544	155	338	3809
	Huelva	1442	408	234	1572	266	35	57	623
	Jaén	4734	1422	694	5236	1001	105	207	2840
	Málaga	15821	2777	1087	17632	2291	221	375	7135
	Sevilla	11281	3605	1552	12003	2025	195	368	5188
29/09/2020	Andalucía	61004	14132	6551	66025	9630	1029	1821	29600
	Almería	7782	1163	524	8061	718	101	115	4737
	Cádiz	6730	1489	570	7067	932	109	224	3081
	Córdoba	6565	1782	909	7009	914	110	153	2660
	Granada	7286	1549	888	8097	1535	155	329	3763
	Huelva	1401	407	236	1531	265	35	57	620
	Jaén	4586	1359	664	5084	990	105	207	2782
	Málaga	15710	2899	1204	17519	2283	220	372	6889
	Sevilla	10944	3484	1556	11657	1993	194	364	5068
28/09/2020	Andalucía	59768	13531	6226	64760	9555	1016	1796	28454
	Almería	7737	1158	512	8016	717	99	115	4565
	Cádiz	6569	1385	504	6903	927	108	219	2922
	Córdoba	6357	1688	770	6799	896	106	152	2625
	Granada	7119	1390	801	7930	1532	155	326	3727
	Huelva	1379	401	224	1508	264	35	57	616
	Jaén	4479	1285	664	4976	981	105	207	2745
	Málaga	15466	2812	1214	17264	2270	215	365	6638
	Sevilla	10662	3412	1537	11364	1968	193	355	4616
27/09/2020	Andalucía	58922	13404	6132	63903	9483	1012	1779	28057
	Almería	7660	1177	508	7939	713	99	115	4377
	Cádiz	6524	1413	555	6859	923	107	218	2754
	Córdoba	6237	1637	718	6676	884	105	148	2624
	Granada	6994	1324	715	7805	1523	155	325	3724
	Huelva	1358	400	208	1487	260	35	57	616
	Jaén	4333	1211	581	4830	977	104	205	2744
	Málaga	15357	2919	1311	17157	2265	214	363	6630
	Sevilla	10459	3323	1536	11150	1938	193	348	4588
26/09/2020	Andalucía	58134	13475	6391	63111	9426	1009	1777	27529
	Almería	7545	1135	472	7824	711	99	115	4299
	Cádiz	6488	1522	644	6823	919	107	218	2697
	Córdoba	6137	1651	705	6576	875	103	148	2595
	Granada	6930	1312	767	7740	1516	155	324	3654
	Huelva	1302	387	188	1430	258	35	57	594
	Jaén	4276	1217	642	4773	974	103	204	2744
	Málaga	15237	3031	1397	17037	2242	214	363	6406
	Sevilla	10219	3220	1576	10908	1931	193	348	4540
25/09/2020	Andalucía	56608	13351	6299	61554	9345	1004	1759	26834
	Almería	7459	1124	485	7738	706	99	113	4176
	Cádiz	6329	1584	712	6664	912	107	215	2644
	Córdoba	5927	1628	717	6337	866	104	148	2594
	Granada	6743	1234	695	7554	1513	154	320	3639
	Huelva	1262	370	183	1389	256	34	57	592
	Jaén	4133	1168	635	4630	964	102	203	2682
	Málaga	14983	3100	1313	16785	2246	213	360	6295
	Sevilla	9772	3143	1559	10457	1882	191	343	4212
24/09/2020	Andalucía	55205	13151	6184	60140	9235	1000	1742	26134
	Almería	7375	1202	525	7654	698	99	112	4119
	Cádiz	6185	1594	759	6520	900	107	213	2550
	Córdoba	5797	1647	727	6207	854	104	145	2546
	Granada	6553	1179	601	7364	1507	154	318	3587
	Huelva	1218	351	162	1345	254	34	57	588
	Jaén	4034	1115	638	4531	962	102	201	2590
	Málaga	14709	3094	1397	16508	2227	210	356	6091
	Sevilla	9334	2969	1375	10011	1833	190	340	4063
23/09/2020	Andalucía	53721	12972	6081	58651	9133	987	1730	25590
	Almería	7285	1267	568	7564	692	98	112	4012
	Cádiz	5843	1424	599	6177	891	106	214	2515
	Córdoba	5683	1728	758	6093	837	103	145	2510
	Granada	6403	1143	557	7212	1499	154	312	3533
	Huelva	1188	339	155	1315	252	34	55	580
	Jaén	3919	1106	613	4416	948	102	200	2586
	Málaga	14326	3035	1363	16124	2202	203	355	5830
	Sevilla	9074	2930	1468	9750	1812	187	337	4024
22/09/2020	Andalucía	52170	12446	5716	57100	9023	981	1718	24859
	Almería	7225	1317	608	7504	689	98	112	3943
	Cádiz	5643	1354	555	5977	880	103	213	2467
	Córdoba	5551	1676	780	5961	821	101	142	2494
	Granada	6270	1152	520	7079	1492	154	308	3514
	Huelva	1153	336	159	1280	250	34	55	573
	Jaén	3844	1097	622	4341	935	102	200	2579
	Málaga	13815	2809	1205	15612	2186	204	354	5582
	Sevilla	8669	2705	1267	9346	1770	185	334	3707
21/09/2020	Andalucía	50634	11840	5160	55558	8883	972	1706	23883
	Almería	7178	1377	600	7457	686	97	111	3792
	Cádiz	5510	1285	500	5842	859	102	211	2327
	Córdoba	5376	1551	716	5786	814	100	140	2432
	Granada	6129	1103	424	6937	1484	154	308	3477
	Huelva	1141	336	162	1268	250	34	55	568
	Jaén	3770	1044	582	4267	920	102	200	2528
	Málaga	13268	2728	1085	15064	2169	202	350	5304
	Sevilla	8262	2416	1091	8937	1701	181	331	3455
20/09/2020	Andalucía	49822	11771	5132	54743	8828	972	1692	23544
	Almería	7088	1411	607	7366	682	97	110	3788
	Cádiz	5440	1387	494	5772	855	102	210	2241
	Córdoba	5301	1502	715	5711	801	100	138	2412
	Granada	6043	1072	416	6850	1480	154	308	3458
	Huelva	1136	341	178	1263	250	34	55	556
	Jaén	3675	986	560	4172	914	102	200	2527
	Málaga	13058	2748	1146	14853	2155	202	341	5123
