Territorio,Población,Confirmados_PDIA,Confirmados_PDIA_14_días,Tasa_PDIA_14_días,Confirmados_PDIA_7_días,Total_confirmados,Curados,Fallecidos
Granada,914678,23684,9083,993.0270543295018,3246,24513,5828,449
Granada Sur,148829,1761,665,446.82151999946245,313,1784,504,24
Albondón,728,6,3,412.0879120879121,0,6,1,0
Albuñol,7233,119,30,414.765657403567,13,119,27,0
Almegíjar,365,,30,414.765657403567,13,119,27,0
Almuñécar,26514,267,101,380.9308289960021,41,270,70,1
Alpujarra de la Sierra,989,4,0,0.0,0,5,4,1
Bérchules,716,1,0,0.0,0,1,1,0
Bubión,296,1,0,0.0,0,1,0,0
Busquístar,289,11,7,2422.1453287197232,5,11,1,0
Cádiar,1453,9,3,206.4693737095664,1,9,1,0
Cáñar,350,3,1,285.7142857142857,0,3,1,0
Capileira,554,11,8,1444.043321299639,6,11,0,0
Carataunas,194,,8,1444.043321299639,6,11,0,0
Cástaras,249,,8,1444.043321299639,6,11,0,0
Guájares (Los),1057,4,2,189.2147587511826,1,5,1,0
Gualchos,5193,57,11,211.82360870402465,6,58,21,1
Ítrabo,988,5,2,202.42914979757086,1,5,2,0
Jete,919,,2,202.42914979757086,1,5,2,0
Juviles,153,,2,202.42914979757086,1,5,2,0
Lanjarón,3507,62,30,855.4319931565441,19,62,7,2
Lentegí,326,,30,855.4319931565441,19,62,7,2
Lobras,145,,30,855.4319931565441,19,62,7,2
Lújar,488,6,4,819.672131147541,2,6,2,0
Molvízar,2794,11,3,107.37294201861131,3,12,3,0
Motril,58020,860,321,553.2574974146846,153,872,287,13
Murtas,467,13,11,2355.460385438972,6,14,1,2
Nevada,1050,1,0,0.0,0,1,1,0
Órgiva,5725,68,35,611.353711790393,17,68,17,1
Otívar,1034,6,2,193.42359767891682,1,6,0,1
Pampaneira,321,,2,193.42359767891682,1,6,0,1
Polopos,1756,5,0,0.0,0,6,5,0
Pórtugos,382,7,2,523.5602094240837,2,7,3,0
Rubite,394,3,3,761.4213197969543,3,3,0,0
Salobreña,12381,88,21,169.6147322510298,2,89,18,2
Soportújar,268,2,0,0.0,0,2,0,0
Sorvilán,538,5,4,743.4944237918215,4,5,0,0
Taha (La),653,31,17,2603.3690658499236,12,31,8,0
Torrenueva Costa,2682,19,11,410.1416853094705,5,19,4,0
Torvizcón,648,14,0,0.0,0,14,9,0
Trevélez,732,15,6,819.672131147541,3,15,3,0
Turón,239,,6,819.672131147541,3,15,3,0
Ugíjar,2523,24,17,673.8010305192231,2,25,2,0
Válor,675,2,1,148.14814814814815,0,2,0,0
Vélez de Benaudalla,2841,21,9,316.78986272439283,5,21,4,0
Granada Nordeste,98043,1664,682,695.6131493324358,178,1785,539,32
Alamedilla,574,13,8,1393.7282229965156,7,13,3,1
Albuñán,406,25,11,2709.35960591133,1,25,1,2
Aldeire,615,17,12,1951.219512195122,4,17,1,0
Alicún de Ortega,480,2,1,208.33333333333334,1,2,0,0
Alquife,601,18,0,0.0,0,18,6,1
Baza,20412,248,114,558.4950029394474,17,292,77,3
Beas de Guadix,329,3,0,0.0,0,3,1,0
Benalúa,3318,72,22,663.0500301386377,6,72,31,7
Benamaurel,2293,34,9,392.49890972525077,1,35,16,1
Calahorra (La),673,41,8,1188.7072808320952,3,41,6,0
Caniles,4047,85,45,1111.934766493699,8,88,12,1
Castilléjar,1318,20,13,986.3429438543247,3,21,3,0
Castril,2070,27,20,966.1835748792271,8,30,5,1
Cogollos de Guadix,673,11,3,445.76523031203567,0,13,2,0
Cortes de Baza,1869,10,5,267.5227394328518,0,10,4,0
Cortes y Graena,996,6,3,301.2048192771084,0,6,1,1
Cuevas del Campo,1735,32,28,1613.8328530259366,11,32,3,0
Cúllar,4129,26,7,169.53257447323807,3,28,8,0
Darro,1599,31,3,187.6172607879925,1,31,3,0
Dehesas de Guadix,419,25,23,5489.260143198091,5,25,0,0
Diezma,764,2,0,0.0,0,4,3,0
Dólar,622,6,1,160.77170418006432,0,6,3,0
Ferreira,299,2,1,334.44816053511704,1,2,1,0
Fonelas,978,20,4,408.9979550102249,3,20,5,1
Freila,918,10,7,762.5272331154684,4,10,1,0
Galera,1075,17,8,744.1860465116279,4,18,5,1
Gor,733,3,3,409.2769440654843,3,4,1,0
Gorafe,381,1,0,0.0,0,1,0,1
Guadix,18422,393,141,765.3892085549886,51,438,166,5
Huélago,403,25,3,744.4168734491315,0,25,17,0
Huéneja,1184,6,1,84.45945945945945,1,6,0,0
Huéscar,7253,95,71,978.9052805735557,8,103,21,4
Jérez del Marquesado,968,24,4,413.22314049586777,4,24,16,0
Lanteira,588,6,3,510.2040816326531,1,7,3,0
Lugros,323,7,3,928.7925696594427,0,7,0,0
Marchal,417,1,1,239.8081534772182,0,1,0,0
Morelábor,607,28,7,1153.2125205930806,1,28,3,0
Orce,1190,1,0,0.0,0,1,1,0
Pedro Martínez,1107,37,2,180.6684733514002,2,37,32,1
Peza (La),1178,5,2,169.7792869269949,2,5,3,0
Polícar,276,,2,169.7792869269949,2,5,3,0
Puebla de Don Fadrique,2250,94,52,2311.1111111111113,8,95,31,1
Purullena,2293,32,3,130.8329699084169,2,34,20,0
Valle del Zalabí,2128,42,6,281.9548872180451,3,44,20,0
Villanueva de las Torres,582,1,1,171.82130584192439,0,1,0,0
Zújar,2548,60,23,902.668759811617,1,62,4,0
Granada (distrito),239149,8369,2941,1229.7772518388117,1036,8741,2233,176
Beas de Granada,977,8,0,0.0,0,8,1,1
Granada (capital),232462,8189,2859,1229.8784317436828,1009,8556,2196,173
Huétor de Santillán,1877,36,15,799.1475759190197,3,38,8,0
Jun,3833,136,67,1747.978085050874,24,139,28,2
Metropolitano de Granada,428657,11401,4679,1091.5487207720857,1698,11713,2457,212
Agrón,274,9,5,1824.8175182481752,0,10,2,0
Albolote,18808,463,201,1068.6941726924713,62,482,82,5
Albuñuelas,821,12,3,365.4080389768575,1,12,8,0
Alfacar,5400,208,81,1500.0,31,211,28,3
Algarinejo,2520,36,9,357.14285714285717,2,37,17,0
Alhama de Granada,5979,120,22,367.9545074427162,4,121,16,1
Alhendín,9349,238,93,994.7587977323778,40,241,38,3
Arenas del Rey,666,18,8,1201.2012012012012,2,18,0,0
