Fecha,Territorio,Confirmados_PCR,Confirmados_PCR_14_días,Confirmados_PCR_7_días,Total_confirmados,Hospitalizados,Total_UCI,Fallecidos,Curados
2020-02-26,Sevilla,0,0,0,1,0,0,0,0
2020-02-26,Andalucía,0,0,0,1,0,0,0,0
2020-02-26,Almería,0,0,0,0,0,0,0,0
2020-02-26,Cádiz,0,0,0,0,0,0,0,0
2020-02-26,Málaga,0,0,0,0,0,0,0,0
2020-02-26,Granada,0,0,0,0,0,0,0,0
2020-02-26,Jaén,0,0,0,0,0,0,0,0
2020-02-26,Córdoba,0,0,0,0,0,0,0,0
2020-02-26,Huelva,0,0,0,0,0,0,0,0
2020-02-27,Sevilla,0,0,0,1,0,0,0,0
2020-02-27,Málaga,0,0,0,4,0,0,0,0
2020-02-27,Jaén,0,0,0,0,0,0,0,0
2020-02-27,Huelva,0,0,0,0,0,0,0,0
2020-02-27,Granada,0,0,0,0,0,0,0,0
2020-02-27,Córdoba,0,0,0,0,0,0,0,0
2020-02-27,Cádiz,0,0,0,0,0,0,0,0
2020-02-27,Almería,0,0,0,1,0,0,0,0
2020-02-27,Andalucía,0,0,0,6,0,0,0,0
2020-02-28,Andalucía,0,0,0,8,0,0,0,0
2020-02-28,Almería,0,0,0,1,0,0,0,0
2020-02-28,Cádiz,0,0,0,0,0,0,0,0
2020-02-28,Córdoba,0,0,0,0,0,0,0,0
2020-02-28,Málaga,0,0,0,4,0,0,0,0
2020-02-28,Huelva,0,0,0,0,0,0,0,0
2020-02-28,Jaén,0,0,0,1,0,0,0,0
2020-02-28,Sevilla,0,0,0,2,0,0,0,0
2020-02-28,Granada,0,0,0,0,0,0,0,0
2020-02-29,Andalucía,0,0,0,10,0,0,0,0
2020-02-29,Almería,0,0,0,1,0,0,0,0
2020-02-29,Córdoba,0,0,0,0,0,0,0,0
2020-02-29,Cádiz,0,0,0,0,0,0,0,0
2020-02-29,Huelva,0,0,0,0,0,0,0,0
2020-02-29,Jaén,0,0,0,1,0,0,0,0
2020-02-29,Málaga,0,0,0,6,0,0,0,0
2020-02-29,Sevilla,0,0,0,2,0,0,0,0
2020-02-29,Granada,0,0,0,0,0,0,0,0
2020-03-01,Almería,0,0,0,1,0,0,0,0
2020-03-01,Cádiz,0,0,0,0,0,0,0,0
2020-03-01,Córdoba,0,0,0,0,0,0,0,0
2020-03-01,Andalucía,0,0,0,10,0,0,0,0
2020-03-01,Huelva,0,0,0,0,0,0,0,0
2020-03-01,Jaén,0,0,0,1,0,0,0,0
2020-03-01,Málaga,0,0,0,6,0,0,0,0
2020-03-01,Sevilla,0,0,0,2,0,0,0,0
2020-03-01,Granada,0,0,0,0,0,0,0,0
2020-03-02,Andalucía,0,0,0,10,0,0,0,0
2020-03-02,Almería,0,0,0,1,0,0,0,0
2020-03-02,Cádiz,0,0,0,0,0,0,0,0
2020-03-02,Córdoba,0,0,0,0,0,0,0,0
2020-03-02,Granada,0,0,0,0,0,0,0,0
2020-03-02,Jaén,0,0,0,1,0,0,0,0
2020-03-02,Málaga,0,0,0,6,0,0,0,0
2020-03-02,Sevilla,0,0,0,2,0,0,0,0
2020-03-02,Huelva,0,0,0,0,0,0,0,0
2020-03-03,Andalucía,0,0,0,11,0,0,0,0
2020-03-03,Almería,0,0,0,1,0,0,0,0
2020-03-03,Córdoba,0,0,0,0,0,0,0,0
2020-03-03,Cádiz,0,0,0,0,0,0,0,0
2020-03-03,Huelva,0,0,0,0,0,0,0,0
2020-03-03,Sevilla,0,0,0,2,0,0,0,0
2020-03-03,Granada,0,0,0,0,0,0,0,0
2020-03-03,Jaén,0,0,0,1,0,0,0,0
2020-03-03,Málaga,0,0,0,7,0,0,0,0
2020-03-04,Sevilla,0,0,0,2,0,0,0,0
2020-03-04,Málaga,0,0,0,7,0,0,0,0
2020-03-04,Jaén,0,0,0,1,0,0,0,0
2020-03-04,Huelva,0,0,0,0,0,0,0,0
2020-03-04,Granada,0,0,0,0,0,0,0,0
2020-03-04,Córdoba,0,0,0,0,0,0,0,0
2020-03-04,Cádiz,0,0,0,0,0,0,0,0
2020-03-04,Almería,0,0,0,1,0,0,0,0
2020-03-04,Andalucía,0,0,0,11,0,0,0,0
2020-03-05,Andalucía,0,0,0,15,0,0,0,0
2020-03-05,Almería,0,0,0,1,0,0,0,0
2020-03-05,Cádiz,0,0,0,0,0,0,0,0
2020-03-05,Córdoba,0,0,0,0,0,0,0,0
2020-03-05,Málaga,0,0,0,9,0,0,0,0
2020-03-05,Huelva,0,0,0,0,0,0,0,0
2020-03-05,Jaén,0,0,0,1,0,0,0,0
